ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/codecs.py:309(__init__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/codecs.py:319(decode)
137488,0.063,0.000,0.202,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/abc.py:96(__instancecheck__)
18/10,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/abc.py:100(__subclasscheck__)
2,0.000,0.000,0.001,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:22(__init__)
1,0.000,0.000,0.010,0.010,/scratch/users/u34cm18/alt/EPICpy/runner.py:33(parse_domain)
1,0.000,0.000,0.009,0.009,/scratch/users/u34cm18/alt/EPICpy/runner.py:45(parse_problem)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:63(set_solver)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:72(set_heuristic)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:84(set_search_queue)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/Solver/Solving_Algorithms/partial_order_novelty.py:10(__init__)
2,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:138(__get_suffix)
2,0.000,0.000,0.001,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:130(__check_file_exists)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:203(sub)
2,0.000,0.000,0.001,0.001,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:233(findall)
83692,0.088,0.000,0.355,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:243(finditer)
83696,0.082,0.000,0.141,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:289(_compile)
6,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:289(__call__)
6,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:580(__new__)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:683(value)
7/3,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:71(_compile)
3,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:852(__and__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:276(_optimize_charset)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:249(_compile_charset)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/types.py:171(__get__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:423(_simple)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:432(_generate_overlap_table)
