ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\codecs.py:260(__init__)
2413,0.001,0.000,0.002,0.000,C:\Python39\lib\abc.py:117(__instancecheck__)
13/7,0.000,0.000,0.000,0.000,C:\Python39\lib\abc.py:121(__subclasscheck__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\_bootlocale.py:11(getpreferredencoding)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\encodings\cp1252.py:22(decode)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\types.py:171(__get__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\re.py:203(sub)
2,0.000,0.000,0.001,0.000,C:\Python39\lib\re.py:233(findall)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\re.py:289(_compile)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:358(__call__)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:670(__new__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:792(value)
6/2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:71(_compile)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:977(__and__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:276(_optimize_charset)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:249(_compile_charset)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:423(_simple)
1,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:432(_generate_overlap_table)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:453(_get_iscased)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:461(_get_literal_prefix)
1,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:492(_get_charset_prefix)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:536(_compile_info)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:595(isstring)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:598(_code)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:759(compile)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:76(__init__)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:81(groups)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:111(__init__)
14,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:160(__len__)
28,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:164(__getitem__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:168(__setitem__)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:172(append)
6/2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:174(getwidth)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:224(__init__)
18,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:233(__next)
12,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:249(match)
14,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:254(get)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:286(tell)
1,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:295(_class_escape)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:432(_uniq)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:435(_parse_sub)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:493(_parse)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:921(fix_flags)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:937(parse)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\threading.py:228(__init__)
3215,0.001,0.000,0.002,0.000,C:\Python39\lib\threading.py:256(__enter__)
3215,0.001,0.000,0.002,0.000,C:\Python39\lib\threading.py:259(__exit__)
3215,0.001,0.000,0.002,0.000,C:\Python39\lib\threading.py:271(_is_owned)
3215,0.003,0.000,0.005,0.000,C:\Python39\lib\threading.py:351(notify)
69455/332,0.047,0.000,0.097,0.000,C:\Python39\lib\copy.py:128(deepcopy)
61764,0.004,0.000,0.004,0.000,C:\Python39\lib\copy.py:182(_deepcopy_atomic)
7359,0.016,0.000,0.072,0.000,C:\Python39\lib\copy.py:200(_deepcopy_list)
332,0.003,0.000,0.096,0.000,C:\Python39\lib\copy.py:226(_deepcopy_dict)
7691,0.003,0.000,0.004,0.000,C:\Python39\lib\copy.py:242(_keep_alive)
1,0.000,0.000,0.006,0.006,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:22(__init__)
1,0.000,0.000,0.005,0.005,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:33(parse_domain)
1,0.000,0.000,0.030,0.030,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:45(parse_problem)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:72(set_heuristic)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:84(set_search_queue)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:130(__check_file_exists)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:138(__get_suffix)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:17(__init__)
1,0.000,0.000,0.005,0.005,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:20(parse_domain)
1,0.000,0.000,0.030,0.030,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:53(parse_problem)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:77(_add_types_to_domain)
