ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\codecs.py:260(__init__)
1582,0.001,0.000,0.001,0.000,C:\Python39\lib\abc.py:117(__instancecheck__)
15/7,0.000,0.000,0.000,0.000,C:\Python39\lib\abc.py:121(__subclasscheck__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\_bootlocale.py:11(getpreferredencoding)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\encodings\cp1252.py:22(decode)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\types.py:171(__get__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\re.py:203(sub)
2,0.000,0.000,0.002,0.001,C:\Python39\lib\re.py:233(findall)
670,0.000,0.000,0.001,0.000,C:\Python39\lib\re.py:243(finditer)
674,0.000,0.000,0.001,0.000,C:\Python39\lib\re.py:289(_compile)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:358(__call__)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:670(__new__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:792(value)
7/3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:71(_compile)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\enum.py:977(__and__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:276(_optimize_charset)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:249(_compile_charset)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:423(_simple)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:432(_generate_overlap_table)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:453(_get_iscased)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:461(_get_literal_prefix)
1,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:492(_get_charset_prefix)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:536(_compile_info)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:595(isstring)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:598(_code)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_compile.py:759(compile)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:76(__init__)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:81(groups)
7,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:111(__init__)
15,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:160(__len__)
29,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:164(__getitem__)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:168(__setitem__)
7,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:172(append)
7/3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:174(getwidth)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:224(__init__)
20,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:233(__next)
13,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:249(match)
15,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:254(get)
7,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:286(tell)
1,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:295(_class_escape)
2,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:432(_uniq)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:435(_parse_sub)
4,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:493(_parse)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:921(fix_flags)
3,0.000,0.000,0.000,0.000,C:\Python39\lib\sre_parse.py:937(parse)
6,0.000,0.000,0.000,0.000,C:\Python39\lib\threading.py:228(__init__)
1823,0.001,0.000,0.001,0.000,C:\Python39\lib\threading.py:256(__enter__)
1823,0.001,0.000,0.001,0.000,C:\Python39\lib\threading.py:259(__exit__)
1823,0.001,0.000,0.001,0.000,C:\Python39\lib\threading.py:271(_is_owned)
1823,0.002,0.000,0.003,0.000,C:\Python39\lib\threading.py:351(notify)
46503/264,0.033,0.000,0.068,0.000,C:\Python39\lib\copy.py:128(deepcopy)
40443,0.003,0.000,0.003,0.000,C:\Python39\lib\copy.py:182(_deepcopy_atomic)
5796,0.011,0.000,0.048,0.000,C:\Python39\lib\copy.py:200(_deepcopy_list)
264,0.003,0.000,0.067,0.000,C:\Python39\lib\copy.py:226(_deepcopy_dict)
6060,0.002,0.000,0.003,0.000,C:\Python39\lib\copy.py:242(_keep_alive)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:22(__init__)
1,0.000,0.000,0.010,0.010,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:33(parse_domain)
1,0.000,0.000,0.004,0.004,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:45(parse_problem)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:72(set_heuristic)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:84(set_search_queue)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:130(__check_file_exists)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\runner.py:138(__get_suffix)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:17(__init__)
1,0.000,0.000,0.010,0.010,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:20(parse_domain)
1,0.000,0.000,0.003,0.003,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:53(parse_problem)
2,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:77(_add_types_to_domain)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:76(_parse_type)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:100(_parse_predicates)
14,0.000,0.000,0.002,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:109(_parse_action)
28,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:135(__extract_effect_values)
27/14,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:134(_parse_effects)
10,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:174(_parse_task)
16,0.000,0.000,0.004,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:191(_parse_method)
97,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:270(<listcomp>)
31,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:285(<listcomp>)
153/31,0.001,0.000,0.002,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:251(__parse_conditions)
16,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:335(<listcomp>)
29,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:340(<listcomp>)
31,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:339(<listcomp>)
31,0.000,0.000,0.002,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:250(_parse_precondition)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:345(__add_constants_to_problem)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:344(_parse_constant)
1,0.000,0.000,0.000,0.000,F:\Users\Cael\Documents\University files\4th Year\Dissertation\4th-Year-Dissertation\Parsers\HDDL_Parser.py:370(_post_domain_parsing_grounding)
