ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/codecs.py:260(__init__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/codecs.py:309(__init__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/codecs.py:319(decode)
6733,0.003,0.000,0.009,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/abc.py:96(__instancecheck__)
16/8,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/abc.py:100(__subclasscheck__)
2,0.000,0.000,0.001,0.001,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/_bootlocale.py:33(getpreferredencoding)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:22(__init__)
1,0.000,0.000,0.015,0.015,/scratch/users/u34cm18/alt/EPICpy/runner.py:33(parse_domain)
1,0.000,0.000,0.028,0.028,/scratch/users/u34cm18/alt/EPICpy/runner.py:45(parse_problem)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:63(set_solver)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:72(set_heuristic)
1,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:84(set_search_queue)
2,0.000,0.000,0.000,0.000,/scratch/users/u34cm18/alt/EPICpy/runner.py:138(__get_suffix)
2,0.000,0.000,0.001,0.001,/scratch/users/u34cm18/alt/EPICpy/runner.py:130(__check_file_exists)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:203(sub)
2,0.000,0.000,0.004,0.002,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:233(findall)
40820,0.025,0.000,0.324,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:243(finditer)
40824,0.023,0.000,0.036,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/re.py:289(_compile)
6,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:289(__call__)
6,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:580(__new__)
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:683(value)
7/3,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:71(_compile)
3,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/enum.py:852(__and__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:276(_optimize_charset)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:249(_compile_charset)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/types.py:171(__get__)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:423(_simple)
2,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:432(_generate_overlap_table)
4,0.000,0.000,0.000,0.000,/opt/software/uoa/2019/conda/anaconda3/envs/python-3.9.1/lib/python3.9/sre_compile.py:453(_get_iscased)
