ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\codecs.py:260(__init__)
4885,0.004,0.000,0.011,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
17/9,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\abc.py:121(__subclasscheck__)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\genericpath.py:16(exists)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\encodings\cp1252.py:22(decode)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\types.py:176(__get__)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\re.py:202(sub)
2,0.000,0.000,0.006,0.003,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\re.py:232(findall)
4,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
4,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\enum.py:358(__call__)
4,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\enum.py:670(__new__)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\enum.py:787(value)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:249(_compile_charset)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\enum.py:972(__and__)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:276(_optimize_charset)
6/2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:423(_simple)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:432(_generate_overlap_table)
3,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:453(_get_iscased)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:461(_get_literal_prefix)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:492(_get_charset_prefix)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:536(_compile_info)
4,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:595(isstring)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:598(_code)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:759(compile)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:76(__init__)
4,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:81(groups)
6,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:111(__init__)
14,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:160(__len__)
28,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:164(__getitem__)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:168(__setitem__)
6,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:172(append)
6/2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:174(getwidth)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:224(__init__)
18,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:233(__next)
12,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:249(match)
14,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:254(get)
6,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:286(tell)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:295(_class_escape)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:432(_uniq)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:435(_parse_sub)
3,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:493(_parse)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:921(fix_flags)
2,0.000,0.000,0.000,0.000,C:\Users\Cael\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:937(parse)
1,0.000,0.000,0.020,0.020,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:45(parse_problem)
1,0.000,0.000,0.011,0.011,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:33(parse_domain)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:63(set_solver)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:72(set_heuristic)
1,0.000,0.000,0.000,0.000,C:\Users\Cael\Documents\University\4th year\Dissertation\4th-Year-Dissertation\runner.py:84(set_search_queue)
